12,27,-37
12,29,-37
12,31,-37
12,33,-36
12,35,-36
14,25,-37
14,25,-37
14,25,-38
14,25,-38
14,25,-38
14,25,-38
14,27,-38
14,29,-38
14,31,-37
14,33,-37
14,35,-37
16,25,-37
16,25,-39
16,25,-40
16,25,-39
16,25,-39
16,25,-39
16,27,-39
16,29,-38
16,31,-38
16,33,-38
16,35,-38
18,25,-39
18,25,-40
18,25,-40
18,25,-41
18,25,-41
18,25,-41
18,27,-41
18,29,-40
18,31,-40
18,33,-40
18,35,-39
20,25,-39
20,25,-41
20,25,-42
20,25,-42
20,25,-44
20,25,-44
20,27,-42
20,29,-42
20,31,-41
20,33,-41
20,35,-41
0,25,-48
0,30,-50
0,35,-53
0,40,-56
0,45,-56
0,50,-56
0,55,-56
0,60,-49
0,65,-49
0,70,-49
0,75,-44
10,25,-53
10,30,-53
10,35,-52
10,40,-48
10,45,-48
10,50,-48
10,55,-48
10,60,-47
10,65,-47
10,70,-44
10,75,-46
20,25,-55
20,30,-55
20,35,-51
20,40,-51
20,45,-52
20,50,-52
20,55,-52
20,60,-52
20,65,-51
20,70,-51
20,75,-51
30,25,-52
30,30,-55
30,35,-55
30,40,-55
30,45,-56
30,50,-56
0,25,-52
0,30,-50
0,35,-50
0,40,-50
0,45,-50
0,50,-50
0,55,-51
0,60,-51
0,65,-50
0,70,-50
0,75,-50
10,25,-51
10,30,-49
10,35,-49
10,40,-50
10,45,-50
10,50,-49
10,55,-50
10,60,-50
10,65,-50
10,70,-50
10,75,-52
20,25,-44
20,30,-44
20,35,-44
20,40,-44
20,45,-45
20,50,-46
20,55,-46
20,60,-47
20,65,-47
20,70,-47
20,75,-44
30,25,-40
30,30,-37
30,35,-37
30,40,-37
30,45,-38
30,50,-38
30,55,-37
30,60,-37
30,65,-37
30,70,-39
30,75,-39
40,25,-38
40,30,-36
40,35,-36
40,40,-35
40,45,-35
40,50,-35
40,55,-34
40,60,-34
40,65,-36
40,70,-36
40,75,-37
50,25,-36
50,30,-36
50,35,-35
50,40,-34
50,45,-34
50,50,-34
50,55,-35
50,60,-35
50,65,-35
50,70,-35
50,75,-38
60,25,-40
60,30,-40
60,35,-39
60,40,-39
60,45,-38
60,50,-37
60,55,-37
60,60,-38
60,65,-38
60,70,-39
60,75,-40
70,25,-43
70,30,-43
70,35,-47
70,40,-47
70,45,-45
70,50,-45
70,55,-44
70,60,-44
70,65,-44
70,70,-46
70,75,-46
80,25,-56
80,30,-52
80,35,-52
